task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
38	0a/3e4aab	1656773	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (NA12716_full)	COMPLETED	0	2026-09-05 03:11:51.738	1m 25s	1m 24s	198.0%	473.4 MB	1.4 GB	12.6 GB	90.8 MB
41	99/cf5e75	1662027	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (NA12716_full)	COMPLETED	0	2026-09-05 03:13:17.605	615ms	234ms	94.8%	2.2 MB	9.8 MB	91.9 MB	1.7 KB
37	04/60c1e3	1651870	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (NA12716_full)	COMPLETED	0	2026-09-05 03:09:54.388	4m 40s	4m 39s	100.7%	48.4 MB	888.9 MB	9.5 GB	1.2 KB
36	a8/c9390b	1648579	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (NA12716_full)	COMPLETED	0	2026-09-05 03:08:54.489	7m 49s	7m 48s	100.7%	11.9 GB	12.8 GB	9.5 GB	1 MB
34	91/5774f1	1661642	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (NA12716_full)	COMPLETED	0	2026-09-05 03:13:16.597	3m 54s	3m 54s	101.7%	151.5 MB	999 MB	9.6 GB	81.7 MB
40	24/33a502	1676957	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (NA12716_full)	COMPLETED	0	2026-09-05 03:17:10.724	5.3s	4.8s	100.5%	8.8 MB	21.4 MB	864.4 MB	864.3 MB
39	25/16555f	1674886	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (NA12716_full)	COMPLETED	0	2026-09-05 03:16:43.411	38.6s	38.2s	106.4%	1.4 GB	2.3 GB	362.5 MB	54 MB
30	68/891e12	1667336	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (NA12716_full)	COMPLETED	0	2026-09-05 03:14:34.240	3m 4s	3m 4s	529.6%	5.3 GB	6.7 GB	33 GB	36.5 GB
42	29/0ff0c6	1677607	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (NA12716_full)	COMPLETED	0	2026-09-05 03:17:16.082	27.5s	27.1s	100.9%	86.2 MB	103.1 MB	2.5 GB	173.3 MB
31	13/c07a26	1633377	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (NA12716_full)	COMPLETED	0	2026-09-05 03:04:55.956	14m 44s	14m 44s	101.2%	768.6 MB	1.9 GB	100.2 GB	38.3 GB
43	58/ef39d9	1679033	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (NA12716_full)	COMPLETED	0	2026-09-05 03:17:38.670	33m 19s	33m 17s	103.5%	17.8 GB	33.8 GB	16.2 GB	585.2 KB
44	db/9344fb	1722187	NFCORE_RNASEQ:RNASEQ:MULTIQC_RNASEQ:MULTIQC (multiqc_report)	COMPLETED	0	2026-09-05 03:50:57.342	13.8s	13.3s	138.4%	1.1 GB	16.3 GB	135.3 MB	52.9 MB
