task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	54/63a445	1897227	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12751_F)	COMPLETED	0	2026-09-05 10:23:11.147	1m 51s	1m 50s	199.1%	3.5 GB	15.3 GB	4.9 GB	3.9 MB
16	9a/6bd735	1897672	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12815_F)	COMPLETED	0	2026-09-05 10:23:12.787	1m 50s	1m 49s	200.1%	3.6 GB	15.5 GB	5.3 GB	4.6 MB
17	6f/209e39	1899912	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12814_M)	COMPLETED	0	2026-09-05 10:23:26.415	2m 9s	2m 9s	194.8%	3 GB	15.4 GB	6 GB	4.5 MB
11	50/394ef7	1896116	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA11832_F)	COMPLETED	0	2026-09-05 10:23:06.586	2m 32s	2m 32s	211.6%	94.5 MB	739 MB	11.8 GB	7.1 GB
20	46/989bb2	1901259	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12775_M)	COMPLETED	0	2026-09-05 10:23:36.105	2m 24s	2m 24s	198.6%	3.2 GB	15.5 GB	6.5 GB	4.5 MB
23	e9/41f16e	1912723	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA11832_F)	COMPLETED	0	2026-09-05 10:26:00.141	1m 12s	1m 12s	100.5%	218.4 MB	221.8 MB	10.6 GB	1.7 KB
21	9d/4bdff8	1905824	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12399_M)	COMPLETED	0	2026-09-05 10:24:30.302	3m 20s	3m 20s	199.2%	3.3 GB	15.3 GB	10 GB	4.4 MB
13	30/47892e	1910354	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12751_F)	COMPLETED	0	2026-09-05 10:25:35.426	2m 30s	2m 29s	210.0%	90.7 MB	933 MB	12.4 GB	7.4 GB
15	76/bcab45	1910901	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12815_F)	COMPLETED	0	2026-09-05 10:25:38.692	2m 35s	2m 35s	208.2%	89.7 MB	805.1 MB	13.1 GB	7.8 GB
24	3b/e661db	1916396	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA11832_F)	COMPLETED	0	2026-09-05 10:27:13.483	1m 12s	1m 11s	100.5%	11.3 MB	14.9 MB	10.6 GB	136.7 MB
25	dc/0866fd	1919361	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12751_F)	COMPLETED	0	2026-09-05 10:28:06.102	1m 15s	1m 15s	100.7%	218.4 MB	221.8 MB	11.1 GB	1.7 KB
